message,label,prediction
&lt;#&gt;  mins but i had to stop somewhere first.,0,0.0
gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.,0,0.0
"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",0,0.0
"\"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \\Ur Lovely Friendship\"\"... good morning dear\"\"\"",0,0.0
"\"Awesome question with a cute answer: Someone asked a boy \\how is ur life?\"\" . . He smiled &amp; answered: . . \\\"\"She is fine!\\\"\" Gudnite\"\"\"",0,0.0
"\"Beautiful Truth against Gravity.. Read carefully: \\Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"\" GOODMORNING\"\"\"",0,0.0
"\"Feb  &lt;#&gt;  is \\I LOVE U\"\" day. Send dis to all ur \\\"\"VALUED FRNDS\\\"\" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr\"\"\"",0,0.0
"\"Height of \\Oh shit....!!\"\" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay\".;-):-D\"\"",0,0.0
"\"Storming msg: Wen u lift d phne, u say \\HELLO\"\" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \\\"\"Margaret Hello\\\"\" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person\" bt not his girlfrnd... G o o d n i g h t . . .@\"\"",0,0.0
"\"Storming msg: Wen u lift d phne, u say \\HELLO\"\" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \\\"\"Margaret Hello\\\"\" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person\" bt not his girlfrnd... G o o d n i g h t . . .@\"\"",0,0.0
"\"Superb Thought- \\Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"\":-)\"\"\"",0,0.0
"\"The word \\Checkmate\"\" in chess comes from the Persian phrase \\\"\"Shah Maat\\\"\" which means; \\\"\"the king is dead..\\\"\" Goodmorning.. Have a good day..:)\"\"\"",0,1.0
"\"Today is \\song dedicated day..\"\" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...\"\"\"",0,0.0
"\"What part of \\don't initiate\"\" don't you understand\"\"\"",0,1.0
"\"\\Happy valentines day\"\" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...\"\"\"",0,1.0
&lt;#&gt;  am I think? Should say on syllabus,0,0.0
